 Percent |	Source code & Disassembly of go for cpu-clock (19 samples, percent: local period)
-------------------------------------------------------------------------------------------------
         :
         :
         :
         : 3      Disassembly of section .text:
         :
         : 5      0000000000536418 <crypto/internal/fips140/sha256.block.abi0>:
         : 6      crypto/internal/fips140/sha256.block.abi0():
    0.00 :   536418: ld      t1,16(s11)
    0.00 :   53641c: bltu    t1,sp,536428 <crypto/internal/fips140/sha256.block.abi0+0x10>
    0.00 :   536420: jal     t0,481d98 <runtime.morestack_noctxt-tramp3>
    0.00 :   536424: j       536418 <crypto/internal/fips140/sha256.block.abi0>
    0.00 :   536428: sd      ra,-72(sp)
    0.00 :   53642c: addi    sp,sp,-72
    0.00 :   536430: sd      ra,0(sp)
    0.00 :   536432: ld      t4,88(sp)
    0.00 :   536434: ld      t5,96(sp)
    0.00 :   536436: srli    t5,t5,0x6
    0.00 :   53643a: slli    t5,t5,0x6
    0.00 :   53643c: add     t3,t5,t4
    0.00 :   536440: bne     t3,t4,536448 <crypto/internal/fips140/sha256.block.abi0+0x30>
    0.00 :   536444: j       539b32 <crypto/internal/fips140/sha256.block.abi0+0x371a>
    0.00 :   536448: auipc   s2,0x7cf
    0.00 :   53644c: addi    s2,s2,-72 # d05400 <crypto/internal/fips140/sha256._K>
    0.00 :   536450: addi    s3,sp,8
    0.00 :   536454: ld      s4,80(sp)
    0.00 :   536456: lwu     a0,0(s4)
    0.00 :   53645a: lwu     a1,4(s4)
    0.00 :   53645e: lwu     a2,8(s4)
    0.00 :   536462: lwu     a3,12(s4)
    0.00 :   536466: lwu     a4,16(s4)
    0.00 :   53646a: lwu     a5,20(s4)
    0.00 :   53646e: lwu     a6,24(s4)
    0.00 :   536472: lwu     a7,28(s4)
    0.00 :   536476: lbu     t0,0(t4)
    0.00 :   53647a: lbu     t1,1(t4)
    0.00 :   53647e: lbu     t2,2(t4)
    0.00 :   536482: lbu     s0,3(t4)
    0.00 :   536486: slli    t0,t0,0x18
    0.00 :   536488: slli    t1,t1,0x10
    0.00 :   53648a: or      t0,t1,t0
    0.00 :   53648e: slli    t2,t2,0x8
    0.00 :   536490: or      t0,t2,t0
    0.00 :   536494: or      t0,s0,t0
    0.00 :   536498: sw      t0,0(s3)
    0.00 :   53649c: lwu     s0,0(s2)
    0.00 :   5364a0: add     a7,a7,t0
    0.00 :   5364a2: srliw   t6,a4,0x6
    0.00 :   5364a6: slliw   t1,a4,0x1a
    0.00 :   5364aa: or      t1,t6,t1
    0.00 :   5364ae: add     a7,a7,s0
    0.00 :   5364b0: srliw   t6,a4,0xb
    0.00 :   5364b4: slliw   t2,a4,0x15
    0.00 :   5364b8: or      t2,t6,t2
    0.00 :   5364bc: srliw   t6,a4,0x19
    0.00 :   5364c0: slliw   s0,a4,0x7
    0.00 :   5364c4: or      s0,t6,s0
    0.00 :   5364c8: xor     t1,t1,t2
    0.00 :   5364cc: xor     t0,a6,a5
    0.00 :   5364d0: xor     t1,t1,s0
    0.00 :   5364d4: and     t0,t0,a4
    0.00 :   5364d8: add     a7,a7,t1
    0.00 :   5364da: xor     t0,t0,a6
    0.00 :   5364de: add     t0,t0,a7
    0.00 :   5364e0: srliw   t6,a0,0x2
    0.00 :   5364e4: slliw   t1,a0,0x1e
    0.00 :   5364e8: or      t1,t6,t1
    0.00 :   5364ec: srliw   t6,a0,0xd
    0.00 :   5364f0: slliw   t2,a0,0x13
    0.00 :   5364f4: or      t2,t6,t2
    0.00 :   5364f8: srliw   t6,a0,0x16
    0.00 :   5364fc: slliw   s0,a0,0xa
    0.00 :   536500: or      s0,t6,s0
    0.00 :   536504: xor     t1,t1,t2
    0.00 :   536508: xor     s1,a2,a1
    0.00 :   53650c: and     t2,a2,a1
    0.00 :   536510: and     s1,s1,a0
    0.00 :   536512: xor     t1,t1,s0
    0.00 :   536516: xor     s1,s1,t2
    0.00 :   53651a: add     t1,t1,s1
    0.00 :   53651c: add     a3,a3,t0
    0.00 :   53651e: add     a7,t0,t1
    0.00 :   536522: lbu     t0,4(t4)
    0.00 :   536526: lbu     t1,5(t4)
    0.00 :   53652a: lbu     t2,6(t4)
    0.00 :   53652e: lbu     s0,7(t4)
    0.00 :   536532: slli    t0,t0,0x18
    0.00 :   536534: slli    t1,t1,0x10
    0.00 :   536536: or      t0,t1,t0
    0.00 :   53653a: slli    t2,t2,0x8
    0.00 :   53653c: or      t0,t2,t0
    0.00 :   536540: or      t0,s0,t0
    0.00 :   536544: sw      t0,4(s3)
    0.00 :   536548: lwu     s0,4(s2)
    0.00 :   53654c: add     a6,a6,t0
    0.00 :   53654e: srliw   t6,a3,0x6
    0.00 :   536552: slliw   t1,a3,0x1a
    0.00 :   536556: or      t1,t6,t1
    0.00 :   53655a: add     a6,a6,s0
    0.00 :   53655c: srliw   t6,a3,0xb
    0.00 :   536560: slliw   t2,a3,0x15
    0.00 :   536564: or      t2,t6,t2
    0.00 :   536568: srliw   t6,a3,0x19
    0.00 :   53656c: slliw   s0,a3,0x7
    0.00 :   536570: or      s0,t6,s0
    0.00 :   536574: xor     t1,t1,t2
    0.00 :   536578: xor     t0,a5,a4
    0.00 :   53657c: xor     t1,t1,s0
    0.00 :   536580: and     t0,t0,a3
    0.00 :   536584: add     a6,a6,t1
    0.00 :   536586: xor     t0,t0,a5
    0.00 :   53658a: add     t0,t0,a6
    0.00 :   53658c: srliw   t6,a7,0x2
    0.00 :   536590: slliw   t1,a7,0x1e
    0.00 :   536594: or      t1,t6,t1
    0.00 :   536598: srliw   t6,a7,0xd
    0.00 :   53659c: slliw   t2,a7,0x13
    0.00 :   5365a0: or      t2,t6,t2
    0.00 :   5365a4: srliw   t6,a7,0x16
    0.00 :   5365a8: slliw   s0,a7,0xa
    0.00 :   5365ac: or      s0,t6,s0
    0.00 :   5365b0: xor     t1,t1,t2
    0.00 :   5365b4: xor     s1,a1,a0
    0.00 :   5365b8: and     t2,a1,a0
    0.00 :   5365bc: and     s1,s1,a7
    0.00 :   5365c0: xor     t1,t1,s0
    0.00 :   5365c4: xor     s1,s1,t2
    0.00 :   5365c8: add     t1,t1,s1
    0.00 :   5365ca: add     a2,a2,t0
    0.00 :   5365cc: add     a6,t0,t1
    0.00 :   5365d0: lbu     t0,8(t4)
    0.00 :   5365d4: lbu     t1,9(t4)
    0.00 :   5365d8: lbu     t2,10(t4)
    0.00 :   5365dc: lbu     s0,11(t4)
    0.00 :   5365e0: slli    t0,t0,0x18
    0.00 :   5365e2: slli    t1,t1,0x10
    0.00 :   5365e4: or      t0,t1,t0
    0.00 :   5365e8: slli    t2,t2,0x8
    0.00 :   5365ea: or      t0,t2,t0
    0.00 :   5365ee: or      t0,s0,t0
    0.00 :   5365f2: sw      t0,8(s3)
    0.00 :   5365f6: lwu     s0,8(s2)
    0.00 :   5365fa: add     a5,a5,t0
    0.00 :   5365fc: srliw   t6,a2,0x6
    0.00 :   536600: slliw   t1,a2,0x1a
    0.00 :   536604: or      t1,t6,t1
    0.00 :   536608: add     a5,a5,s0
    0.00 :   53660a: srliw   t6,a2,0xb
    0.00 :   53660e: slliw   t2,a2,0x15
    0.00 :   536612: or      t2,t6,t2
    0.00 :   536616: srliw   t6,a2,0x19
    0.00 :   53661a: slliw   s0,a2,0x7
    0.00 :   53661e: or      s0,t6,s0
    0.00 :   536622: xor     t1,t1,t2
    0.00 :   536626: xor     t0,a4,a3
    0.00 :   53662a: xor     t1,t1,s0
    0.00 :   53662e: and     t0,t0,a2
    0.00 :   536632: add     a5,a5,t1
    0.00 :   536634: xor     t0,t0,a4
    0.00 :   536638: add     t0,t0,a5
    0.00 :   53663a: srliw   t6,a6,0x2
    0.00 :   53663e: slliw   t1,a6,0x1e
    0.00 :   536642: or      t1,t6,t1
    0.00 :   536646: srliw   t6,a6,0xd
    0.00 :   53664a: slliw   t2,a6,0x13
    0.00 :   53664e: or      t2,t6,t2
    0.00 :   536652: srliw   t6,a6,0x16
    0.00 :   536656: slliw   s0,a6,0xa
    0.00 :   53665a: or      s0,t6,s0
    0.00 :   53665e: xor     t1,t1,t2
    0.00 :   536662: xor     s1,a0,a7
    0.00 :   536666: and     t2,a0,a7
    0.00 :   53666a: and     s1,s1,a6
    0.00 :   53666e: xor     t1,t1,s0
    0.00 :   536672: xor     s1,s1,t2
    0.00 :   536676: add     t1,t1,s1
    0.00 :   536678: add     a1,a1,t0
    0.00 :   53667a: add     a5,t0,t1
    0.00 :   53667e: lbu     t0,12(t4)
    0.00 :   536682: lbu     t1,13(t4)
    0.00 :   536686: lbu     t2,14(t4)
    0.00 :   53668a: lbu     s0,15(t4)
    0.00 :   53668e: slli    t0,t0,0x18
    0.00 :   536690: slli    t1,t1,0x10
    0.00 :   536692: or      t0,t1,t0
    0.00 :   536696: slli    t2,t2,0x8
    0.00 :   536698: or      t0,t2,t0
    0.00 :   53669c: or      t0,s0,t0
    0.00 :   5366a0: sw      t0,12(s3)
    0.00 :   5366a4: lwu     s0,12(s2)
    0.00 :   5366a8: add     a4,a4,t0
    0.00 :   5366aa: srliw   t6,a1,0x6
    0.00 :   5366ae: slliw   t1,a1,0x1a
    0.00 :   5366b2: or      t1,t6,t1
    0.00 :   5366b6: add     a4,a4,s0
    0.00 :   5366b8: srliw   t6,a1,0xb
    0.00 :   5366bc: slliw   t2,a1,0x15
    0.00 :   5366c0: or      t2,t6,t2
    0.00 :   5366c4: srliw   t6,a1,0x19
    0.00 :   5366c8: slliw   s0,a1,0x7
    0.00 :   5366cc: or      s0,t6,s0
    0.00 :   5366d0: xor     t1,t1,t2
    0.00 :   5366d4: xor     t0,a3,a2
    0.00 :   5366d8: xor     t1,t1,s0
    0.00 :   5366dc: and     t0,t0,a1
    0.00 :   5366e0: add     a4,a4,t1
    0.00 :   5366e2: xor     t0,t0,a3
    0.00 :   5366e6: add     t0,t0,a4
    0.00 :   5366e8: srliw   t6,a5,0x2
    0.00 :   5366ec: slliw   t1,a5,0x1e
    0.00 :   5366f0: or      t1,t6,t1
    0.00 :   5366f4: srliw   t6,a5,0xd
    0.00 :   5366f8: slliw   t2,a5,0x13
    0.00 :   5366fc: or      t2,t6,t2
    0.00 :   536700: srliw   t6,a5,0x16
    0.00 :   536704: slliw   s0,a5,0xa
    0.00 :   536708: or      s0,t6,s0
    0.00 :   53670c: xor     t1,t1,t2
    0.00 :   536710: xor     s1,a7,a6
    0.00 :   536714: and     t2,a7,a6
    0.00 :   536718: and     s1,s1,a5
    0.00 :   53671a: xor     t1,t1,s0
    0.00 :   53671e: xor     s1,s1,t2
    0.00 :   536722: add     t1,t1,s1
    0.00 :   536724: add     a0,a0,t0
    0.00 :   536726: add     a4,t0,t1
    0.00 :   53672a: lbu     t0,16(t4)
    0.00 :   53672e: lbu     t1,17(t4)
    0.00 :   536732: lbu     t2,18(t4)
    0.00 :   536736: lbu     s0,19(t4)
    0.00 :   53673a: slli    t0,t0,0x18
    0.00 :   53673c: slli    t1,t1,0x10
    0.00 :   53673e: or      t0,t1,t0
    0.00 :   536742: slli    t2,t2,0x8
    0.00 :   536744: or      t0,t2,t0
    0.00 :   536748: or      t0,s0,t0
    0.00 :   53674c: sw      t0,16(s3)
    0.00 :   536750: lwu     s0,16(s2)
    0.00 :   536754: add     a3,a3,t0
    0.00 :   536756: srliw   t6,a0,0x6
    0.00 :   53675a: slliw   t1,a0,0x1a
    0.00 :   53675e: or      t1,t6,t1
    0.00 :   536762: add     a3,a3,s0
    0.00 :   536764: srliw   t6,a0,0xb
    0.00 :   536768: slliw   t2,a0,0x15
    0.00 :   53676c: or      t2,t6,t2
    0.00 :   536770: srliw   t6,a0,0x19
    0.00 :   536774: slliw   s0,a0,0x7
    0.00 :   536778: or      s0,t6,s0
    0.00 :   53677c: xor     t1,t1,t2
    0.00 :   536780: xor     t0,a2,a1
    0.00 :   536784: xor     t1,t1,s0
    0.00 :   536788: and     t0,t0,a0
    0.00 :   53678c: add     a3,a3,t1
    0.00 :   53678e: xor     t0,t0,a2
    0.00 :   536792: add     t0,t0,a3
    0.00 :   536794: srliw   t6,a4,0x2
    0.00 :   536798: slliw   t1,a4,0x1e
    0.00 :   53679c: or      t1,t6,t1
    0.00 :   5367a0: srliw   t6,a4,0xd
    0.00 :   5367a4: slliw   t2,a4,0x13
    0.00 :   5367a8: or      t2,t6,t2
    0.00 :   5367ac: srliw   t6,a4,0x16
    0.00 :   5367b0: slliw   s0,a4,0xa
    0.00 :   5367b4: or      s0,t6,s0
    0.00 :   5367b8: xor     t1,t1,t2
    0.00 :   5367bc: xor     s1,a6,a5
    0.00 :   5367c0: and     t2,a6,a5
    0.00 :   5367c4: and     s1,s1,a4
    0.00 :   5367c6: xor     t1,t1,s0
    0.00 :   5367ca: xor     s1,s1,t2
    0.00 :   5367ce: add     t1,t1,s1
    0.00 :   5367d0: add     a7,a7,t0
    0.00 :   5367d2: add     a3,t0,t1
    0.00 :   5367d6: lbu     t0,20(t4)
    0.00 :   5367da: lbu     t1,21(t4)
    0.00 :   5367de: lbu     t2,22(t4)
    0.00 :   5367e2: lbu     s0,23(t4)
    0.00 :   5367e6: slli    t0,t0,0x18
    0.00 :   5367e8: slli    t1,t1,0x10
    0.00 :   5367ea: or      t0,t1,t0
    0.00 :   5367ee: slli    t2,t2,0x8
    0.00 :   5367f0: or      t0,t2,t0
    0.00 :   5367f4: or      t0,s0,t0
    0.00 :   5367f8: sw      t0,20(s3)
    0.00 :   5367fc: lwu     s0,20(s2)
    0.00 :   536800: add     a2,a2,t0
    0.00 :   536802: srliw   t6,a7,0x6
    0.00 :   536806: slliw   t1,a7,0x1a
    0.00 :   53680a: or      t1,t6,t1
    0.00 :   53680e: add     a2,a2,s0
    0.00 :   536810: srliw   t6,a7,0xb
    0.00 :   536814: slliw   t2,a7,0x15
    0.00 :   536818: or      t2,t6,t2
    0.00 :   53681c: srliw   t6,a7,0x19
    0.00 :   536820: slliw   s0,a7,0x7
    0.00 :   536824: or      s0,t6,s0
    0.00 :   536828: xor     t1,t1,t2
    0.00 :   53682c: xor     t0,a1,a0
    0.00 :   536830: xor     t1,t1,s0
    0.00 :   536834: and     t0,t0,a7
    0.00 :   536838: add     a2,a2,t1
    0.00 :   53683a: xor     t0,t0,a1
    0.00 :   53683e: add     t0,t0,a2
