11-MXNET-OPPERF-BENCHMARK category-misc RISC-V perf stat
========================================================

Source CSV: /workspace/results/11-mxnet-opperf-benchmark_results.csv
TestName: category-misc
Architecture column: PerformanceValue

Raw perf stat metrics
---------------------
| Metric | RISC-V value |
|---|---:|
| duration_time | 51,062,767,406 |
| task_clock | 170,091.9200000000 |
| cpu_cycle | 20,256,501,854,034 |
| instruction | 13,329,425,808,910 |
| cache_references | 5,361,444,278 |
| cache_misses | 5,361,446,610 |
| branches | 47,295,628,440 |
| branch_misses | 691,205,929 |
| L1_dcache_loads | 46,445,988,381 |
| L1_dcache_load_misses | 1,193,530,660 |
| LLC_load_misses | 2,083,112,640 |
| LLC_loads | 5,361,458,872 |
| IPC | 0.6580320000 |
| opperf_reset_arrays_input_0_avg_time_forward_reset_arrays_us | 0.0085000000 |
| opperf_reset_arrays_input_1_avg_time_forward_reset_arrays_us | 0.0079000000 |
| opperf_reset_arrays_input_2_avg_time_forward_reset_arrays_us | 0.0071000000 |
| opperf_multi_all_finite_input_0_max_storage_mem_alloc_cpu_0 | 0.0040000000 |
| opperf_multi_all_finite_input_0_avg_time_forward_multi_all_finite_us | 0.0337000000 |
| opperf_multi_all_finite_input_1_max_storage_mem_alloc_cpu_0 | 0.0040000000 |
| opperf_multi_all_finite_input_1_avg_time_forward_multi_all_finite_us | 0.0283000000 |
| opperf_multi_all_finite_input_2_max_storage_mem_alloc_cpu_0 | 0.0040000000 |
| opperf_multi_all_finite_input_2_avg_time_forward_multi_all_finite_us | 0.0298000000 |
| opperf_multi_sum_sq_input_0_max_storage_mem_alloc_cpu_0 | 0.0040000000 |
| opperf_multi_sum_sq_input_0_avg_time_forward_multi_sum_sq_us | 0.0244000000 |
| opperf_multi_sum_sq_input_1_max_storage_mem_alloc_cpu_0 | 0.0040000000 |
| opperf_multi_sum_sq_input_1_avg_time_forward_multi_sum_sq_us | 0.0221000000 |
| opperf_multi_sum_sq_input_2_max_storage_mem_alloc_cpu_0 | 0.0040000000 |
| opperf_multi_sum_sq_input_2_avg_time_forward_multi_sum_sq_us | 0.0269000000 |
| opperf_add_n_input_0_max_storage_mem_alloc_cpu_0 | 0.0040000000 |
| opperf_add_n_input_0_avg_time_forward_add_n_us | 0.0687000000 |
