benchmark	variant	run	MPix/s	delta_percent
affine-bench-normal	baseline	1	1152.43	-
affine-bench-normal	patched	1	1148.75	-0.319
affine-bench-normal	baseline	2	1148.96	-
affine-bench-normal	patched	2	1165.94	1.478
affine-bench-normal	baseline	3	1162.70	-
affine-bench-normal	patched	3	1164.00	0.112
affine-bench-normal	baseline	4	1155.95	-
affine-bench-normal	patched	4	1163.50	0.653
affine-bench-normal	baseline	5	1155.58	-
affine-bench-normal	patched	5	1159.58	0.346
affine-bench-normal	baseline_median	-	1155.58	-
affine-bench-normal	patched_median	-	1163.50	0.685
