case	variant	run	L1_MPix/s	L2_MPix/s	M_MPix/s	HT_MPix/s	VT_MPix/s	R_MPix/s	RT_MPix/s
src_8_0565	baseline	1	349.237	328.238	309.964	168.869	124.980	83.2352	28.9081
src_8_0565	patched	1	377.666	351.614	321.440	215.415	157.819	108.544	37.7915
src_8_8888	baseline	1	1957.30	1512.29	1246.70	321.216	181.075	166.485	37.1028
src_8_8888	patched	1	4693.24	2091.10	1658.34	349.299	196.640	185.675	41.6122
src_8_0565	baseline	2	355.222	325.429	305.144	173.261	124.082	84.0842	30.2209
src_8_0565	patched	2	368.654	347.574	319.759	214.677	157.576	109.659	38.2246
src_8_8888	baseline	2	2522.34	1489.24	1255.52	319.858	183.925	166.327	37.5620
src_8_8888	patched	2	2952.77	2240.85	1707.05	405.655	232.418	214.445	44.6983
src_8_0565	baseline	3	358.323	327.415	311.943	172.720	125.631	83.8401	29.6930
src_8_0565	patched	3	378.229	351.792	322.452	215.843	157.627	109.134	38.0256
src_8_8888	baseline	3	2245.43	1477.50	1257.43	289.852	170.473	163.657	36.7798
src_8_8888	patched	3	4480.51	2190.49	1705.95	409.831	234.014	217.865	46.1611
src_8_0565	median	-	355.222	327.415	309.964	172.720	124.980	83.8401	29.6930
src_8_0565	patched-median	-	377.666	351.614	321.440	215.415	157.627	109.134	38.0256
src_8_0565	change_percent	-	6.32	7.39	3.70	24.72	26.12	30.17	28.06
src_8_8888	median	-	2245.430	1489.240	1255.520	319.858	181.075	166.327	37.1028
src_8_8888	patched-median	-	4480.510	2190.490	1705.950	405.655	232.418	214.445	44.6983
src_8_8888	change_percent	-	99.54	47.09	35.88	26.82	28.35	28.93	20.47
