scale	run	baseline_time_ms	patched_time_ms	baseline_ns_per_pixel	patched_ns_per_pixel	speedup_percent
0.10	1	0.0160	0.0141	20.7995	18.3160	13.559
0.10	2	0.0160	0.0141	20.7995	18.3160	13.559
0.10	3	0.0160	0.0141	20.7995	18.3160	13.559
0.10	median	0.0160	0.0141	20.7995	18.3160	13.559
0.11	1	0.0188	0.0160	20.6979	17.5539	17.911
0.11	2	0.0188	0.0169	20.6979	18.6019	11.268
0.11	3	0.0191	0.0160	20.9599	17.5539	19.403
0.11	median	0.0188	0.0160	20.6979	17.5539	17.911
0.12	1	0.0219	0.0191	19.9043	17.3081	15.000
0.12	2	0.0219	0.0200	19.9043	18.1735	9.524
0.12	3	0.0219	0.0188	19.9043	17.0917	16.456
0.12	median	0.0219	0.0191	19.9043	17.3081	15.000
0.13	1	0.0260	0.0219	19.9598	16.8468	18.478
0.13	2	0.0260	0.0219	19.9598	16.8468	18.478
0.13	3	0.0260	0.0219	19.9598	16.8468	18.478
0.13	median	0.0260	0.0219	19.9598	16.8468	18.478
0.14	1	0.0291	0.0250	19.0112	16.3621	16.190
0.14	2	0.0300	0.0260	19.6345	16.9854	15.596
0.14	3	0.0291	0.0250	19.0112	16.3621	16.190
0.14	median	0.0291	0.0250	19.0112	16.3621	16.190
0.15	1	0.0322	0.0279	18.6265	16.1429	15.385
0.15	2	0.0322	0.0281	18.6265	16.2809	14.407
0.15	3	0.0319	0.0279	18.4885	16.1429	14.530
0.15	median	0.0322	0.0279	18.6265	16.1429	15.385
0.16	1	0.0370	0.0310	19.0686	15.9930	19.231
0.16	2	0.0370	0.0310	19.0686	15.9930	19.231
0.16	3	0.0360	0.0310	18.5765	15.9930	16.154
0.16	median	0.0370	0.0310	19.0686	15.9930	19.231
0.17	1	0.0410	0.0350	18.5221	15.8300	17.006
0.17	2	0.0410	0.0350	18.5221	15.8300	17.006
0.17	3	0.0410	0.0341	18.5221	15.3992	20.280
0.17	median	0.0410	0.0350	18.5221	15.8300	17.006
0.18	1	0.0460	0.0381	18.4502	15.2955	20.625
0.18	2	0.0460	0.0389	18.4502	15.5823	18.405
0.18	3	0.0460	0.0379	18.4502	15.1999	21.384
0.18	median	0.0460	0.0381	18.4502	15.2955	20.625
0.19	1	0.0510	0.0420	18.1830	14.9543	21.590
0.19	2	0.0510	0.0429	18.1830	15.2941	18.889
0.19	3	0.0510	0.0420	18.1830	14.9543	21.590
0.19	median	0.0510	0.0420	18.1830	14.9543	21.590
0.20	1	0.0288	0.0288	9.3908	9.3908	0.000
0.20	2	0.0291	0.0291	9.4684	9.4684	0.000
0.20	3	0.0288	0.0300	9.3908	9.7789	-3.969
0.20	median	0.0288	0.0291	9.3908	9.4684	-0.820
0.21	1	0.0610	0.0508	18.2194	15.1592	20.187
0.21	2	0.0610	0.0520	18.2194	15.5150	17.431
0.21	3	0.0610	0.0520	18.2194	15.5150	17.431
0.21	median	0.0610	0.0520	18.2194	15.5150	17.431
0.22	1	0.0660	0.0560	17.8011	15.1020	17.872
0.22	2	0.0660	0.0570	17.8011	15.3590	15.900
0.22	3	0.0660	0.0560	17.8011	15.1020	17.872
0.22	median	0.0660	0.0560	17.8011	15.1020	17.872
0.23	1	0.0730	0.0610	17.9253	14.9964	19.531
0.23	2	0.0730	0.0620	17.9253	15.2307	17.692
0.23	3	0.0730	0.0601	17.9253	14.7620	21.429
0.23	median	0.0730	0.0610	17.9253	14.9964	19.531
0.24	1	0.0789	0.0670	17.6705	15.0013	17.793
0.24	2	0.0780	0.0679	17.4570	15.2148	14.737
0.24	3	0.0789	0.0670	17.6705	15.0013	17.793
0.24	median	0.0789	0.0670	17.6705	15.0013	17.793
0.25	1	0.0830	0.0701	17.2853	14.6031	18.367
0.25	2	0.0830	0.0708	17.2853	14.7521	17.172
0.25	3	0.0830	0.0699	17.2853	14.5535	18.771
0.25	median	0.0830	0.0701	17.2853	14.6031	18.367
0.26	1	0.0899	0.0758	17.4667	14.7332	18.553
0.26	2	0.0901	0.0770	17.5131	14.9649	17.028
0.26	3	0.0908	0.0758	17.6521	14.7332	19.812
0.26	median	0.0901	0.0758	17.5131	14.7332	18.868
0.27	1	0.0980	0.0811	17.5295	14.5013	20.882
0.27	2	0.0980	0.0818	17.5295	14.6293	19.825
0.27	3	0.0980	0.0811	17.5295	14.5013	20.882
0.27	median	0.0980	0.0811	17.5295	14.5013	20.882
0.28	1	0.1061	0.0861	17.5947	14.2735	23.268
0.28	2	0.1061	0.0870	17.5947	14.4316	21.918
0.28	3	0.1059	0.0870	17.5552	14.4316	21.644
0.28	median	0.1061	0.0870	17.5947	14.4316	21.918
0.29	1	0.1130	0.0939	17.3595	14.4296	20.305
0.29	2	0.1130	0.0949	17.3595	14.5761	19.096
0.29	3	0.1130	0.0939	17.3595	14.4296	20.305
0.29	median	0.1130	0.0939	17.3595	14.4296	20.305
0.30	1	0.1180	0.0980	17.0742	14.1768	20.438
0.30	2	0.1190	0.0989	17.2122	14.3148	20.241
0.30	3	0.1190	0.0980	17.2122	14.1768	21.411
0.30	median	0.1190	0.0980	17.2122	14.1768	21.411
0.31	1	0.1280	0.1070	17.4762	14.6123	19.599
0.31	2	0.1280	0.1090	17.4762	14.8727	17.505
0.31	3	0.1280	0.1070	17.4762	14.6123	19.599
0.31	median	0.1280	0.1070	17.4762	14.6123	19.599
0.32	1	0.1371	0.1159	17.4549	14.7532	18.313
0.32	2	0.1371	0.1171	17.4549	14.9050	17.108
0.32	3	0.1369	0.1159	17.4245	14.7532	18.107
0.32	median	0.1371	0.1159	17.4549	14.7532	18.313
0.33	1	0.1440	0.1218	17.1967	14.5488	18.200
0.33	2	0.1450	0.1228	17.3105	14.6627	18.058
0.33	3	0.1440	0.1211	17.1967	14.4634	18.898
0.33	median	0.1440	0.1218	17.1967	14.5488	18.200
0.34	1	0.1531	0.1278	17.1252	14.2976	19.777
0.34	2	0.1531	0.1290	17.1252	14.4310	18.670
0.34	3	0.1531	0.1280	17.1252	14.3243	19.553
0.34	median	0.1531	0.1280	17.1252	14.3243	19.553
0.35	1	0.1600	0.1352	17.0046	14.3690	18.342
0.35	2	0.1588	0.1359	16.8778	14.4450	16.842
0.35	3	0.1588	0.1349	16.8778	14.3436	17.668
0.35	median	0.1588	0.1352	16.8778	14.3690	17.460
0.36	1	0.1688	0.1400	17.0678	14.1508	20.614
0.36	2	0.1690	0.1409	17.0919	14.2473	19.966
0.36	3	0.1690	0.1400	17.0919	14.1508	20.784
0.36	median	0.1690	0.1400	17.0919	14.1508	20.784
0.37	1	0.1791	0.1500	17.0494	14.2797	19.396
0.37	2	0.1791	0.1519	17.0494	14.4613	17.897
0.37	3	0.1791	0.1500	17.0494	14.2797	19.396
0.37	median	0.1791	0.1500	17.0494	14.2797	19.396
0.38	1	0.1891	0.1581	17.0299	14.2381	19.608
0.38	2	0.1900	0.1590	17.1158	14.3240	19.490
