# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 718  of event 'cpu-clock'
# Event count (approx.): 7252525180
#
# Overhead  Command  Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  ..................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     1.81%  python   libtorch_cpu.so     [.] void at::native::RVV::vectorized_loop<at::native::(anonymous namespace)::mul_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#14}::operator()() const::{lambda(float, float)#1}&, at::native::(anonymous namespace)::mul_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#14}::operator()() const::{lambda(at::vec::RVV::Vectorized<float>, at::vec::RVV::Vectorized<float>)#1}&>(char**, long, long, at::native::(anonymous namespace)::mul_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#14}::operator()() const::{lambda(float, float)#1}&, at::native::(anonymous namespace)::mul_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#14}::operator()() const::{lambda(at::vec::RVV::Vectorized<float>, at::vec::RVV::Vectorized<float>)#1}&) [clone .isra.0]
     1.53%  python   [kernel.kallsyms]   [k] 0xffffffff80e1598e
     1.39%  python    (deleted)          [.] 0x000000000013647a
     1.39%  python   libtorch_cpu.so     [.] void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::RVV::VectorizedLoop2d<at::native::(anonymous namespace)::fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda()#1}, at::native::(anonymous namespace)::fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda()#2}> >(long, char**, long const*, long, long)
     1.25%  python   [kernel.kallsyms]   [k] 0xffffffff800552d6
     1.25%  python   libtorch_cpu.so     [.] c10::impl::OperatorEntry::updateDispatchTableEntry_(c10::Dispatcher const&, c10::DispatchKey)
     1.25%  python   libtorch_cpu.so     [.] torch::jit::SharedParserData::match(torch::jit::StringCordView::Iterator, bool, bool, int*, torch::jit::StringCordView::Iterator*, torch::jit::StringCordView::Iterator*)
     0.97%  python    (deleted)          [.] 0x0000000000135944
     0.56%  python    (deleted)          [.] 0x000000000012fe3c
     0.56%  python    (deleted)          [.] 0x0000000000135c6c
